id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1157042529377145977,Sant'Ambrogio Comfort Home,89277071,Lorenzo,,Centro Storico,43.77011,11.26571,Entire home/apt,186,1,1,2024-06-02,1,60,223,1,
1157067303493983188,"Dimora Luciano 
quiet home stay",577672480,Maria Cecilia,,Campo di Marte,43.76577510000001,11.3096163,Entire home/apt,125,3,0,,,4,132,0,
1157113157260244636,"Dolce Vita Firenze,new spacious&luminous suite",105185178,Miriam,,Campo di Marte,43.777771845057586,11.273948305239568,Entire home/apt,120,2,1,2024-06-17,1,2,174,1,048017LTN14848
1157128617338624078,Twin Flat Faenza in Florence,108179442,Bernardo Filippo,,Centro Storico,43.77711404909414,11.252347520755016,Entire home/apt,800,2,0,,,11,256,0,
1157138820079387031,Duomo Luxury Apartment with Pool,89277071,Lorenzo,,Centro Storico,43.77164,11.24816,Entire home/apt,304,1,0,,,60,231,0,
1157146319525065426,Synagogue Penthouse,25691369,Alessandro,,Centro Storico,43.77244,11.26545,Entire home/apt,,2,0,,,8,0,0,
1157172588618558356,Condotta House Firenze,568349005,Holidu,,Centro Storico,43.77026,11.25591,Entire home/apt,175,1,0,,,5,358,0,
1157175668203270798,Central Panoramic Terrace,439074505,Travelnest,,Centro Storico,43.77324,11.26454,Entire home/apt,200,1,0,,,5,364,0,
1157185180791094354,appartamento nel verde a pochi minuti dal centro,43348431,Giuseppina,,Rifredi,43.807776262131256,11.242512678421324,Entire home/apt,70,1,0,,,1,168,0,
1157201512563649718,Ammirato Duplex-Hosted by Sweetstay,76556384,Andrea,,Campo di Marte,43.77252523656788,11.272825770191229,Entire home/apt,199,1,2,2024-06-08,2,73,0,2,
1157247638993925356,Apt residenziale e spazioso 4pax,577727446,Marco,,Centro Storico,43.78333627290343,11.231417847221378,Entire home/apt,117,2,3,2024-06-02,3,1,254,3,
1157253238570951152,Top Bedroom by the Old Bridge,429237095,Beatrice,,Centro Storico,43.761887065624364,11.254027450926198,Private room,85,3,2,2024-06-18,2,1,174,2,
