Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
129701,260935076457889,May,WA,3780.2487,300.0,30,39,1,,20,2,6,0,0,"Native, Born In US",9,Child day care services (6244),2540,"Private, Nonprofit",No,No,Employed-At Work,1,10.0,2.302585092994046
129847,600948061453539,May,WV,1227.539,330.0,30,43,1,,32,2,1,2,3,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,11.0,2.3978952727983707
130653,561943305059618,May,WY,373.825,528.58,38,40,1,,53,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,1,13.910000000000002,2.6326080059353516
130742,916789370149500,May,WY,448.131,462.0,3,42,3,,24,2,7,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,154.0,5.0369526024136295
131144,980915069208889,June,AL,4272.8599,150.0,19,40,1,,21,1,7,0,0,"Native, Born In US",6,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,0,7.894736842105263,2.0661963149298153
131370,508602870997332,June,AK,443.5044,225.0,25,43,1,,41,1,5,0,0,"Native, Born In US",9,"Colleges and universities, including junior colleges (6112, 6113)",2540,Government - State,No,No,Employed-At Work,0,9.0,2.1972245773362196
131573,604908080791374,June,AZ,3214.4598,255.0,30,41,1,1.0,23,2,7,0,0,"Native, Born In US",8,Child day care services (6244),2540,Government - Local,No,No,Employed-At Work,1,8.5,2.1400661634962708
132081,508905700991935,June,AR,1480.6111,326.0,40,41,1,,30,2,5,2,3,"Native, Born In US",7,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-At Work,1,8.15,2.0980179272527715
132199,30860860963096,June,CA,3017.9306,195.0,15,39,1,,62,2,5,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-Absent,1,13.0,2.5649493574615367
132463,204901020988566,June,CA,2937.4286,200.0,20,40,1,1.0,23,2,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,10.0,2.302585092994046
132657,543099829600940,June,CA,2991.443,245.0,28,40,1,5.0,28,2,6,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,8.75,2.169053700369523
132993,808903290995826,June,CA,2556.1527,240.0,30,43,1,1.0,29,2,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-Absent,1,8.0,2.0794415416798357
